Time,Event,X,Y,Image,PauseCnt,DoubleClickTime,WheelDetents
0,START,1920,1200,0000.jpg,1,500,0
265,LB_DOWN,2628,740,0001.jpg,1,0,0
1109,LB_UP,2636,1078,0002.jpg,1,0,0
2046,LB_DOWN,3144,240,0003.jpg,1,0,0
2984,LB_UP,3170,140,0004.jpg,1,0,0
6656,LB_DOWN,1458,582,0005.jpg,1,0,0
9140,LB_UP,1096,968,0006.jpg,1,0,0
10109,LB_DOWN,1508,678,0007.jpg,1,0,0
10109,LB_UP,1508,678,0007.jpg,1,0,0
11109,RB_DOWN,1922,280,0008.jpg,1,0,0
13812,RB_UP,1092,1046,0009.jpg,1,0,0
15703,LB_DOWN,1688,540,0010.jpg,1,0,0
15718,LB_UP,1688,540,0010.jpg,1,0,0
16718,RB_DOWN,1822,420,0011.jpg,1,0,0
16718,RB_UP,1822,420,0011.jpg,1,0,0
21421,LB_DOWN,1684,704,0012.jpg,1,0,0
21421,LB_UP,1684,704,0012.jpg,1,0,0
22609,RB_DOWN,1692,698,0013.jpg,1,0,0
22609,RB_UP,1692,698,0013.jpg,1,0,0
24796,LB_DOWN,1778,830,0014.jpg,1,0,0
24796,LB_UP,1778,830,0014.jpg,1,0,0
27546,MB_DOWN,1988,344,0015.jpg,1,0,0
28671,MB_UP,1556,798,0016.jpg,1,0,0
29250,MB_DOWN,1526,782,0017.jpg,1,0,0
30171,MB_UP,2550,1580,0018.jpg,1,0,0
31968,LB_DOWN,3164,142,0019.jpg,1,0,0
33156,LB_UP,3154,74,0020.jpg,1,0,0
34640,MB_DOWN,3122,80,0021.jpg,1,0,0
35453,MB_UP,3098,154,0022.jpg,1,0,0
37359,MB_DOWN,1786,654,0023.jpg,1,0,0
38296,MB_UP,1552,988,0024.jpg,1,0,0
39109,MS_WHEEL,1650,906,0025.jpg,1,0,1
39453,MS_WHEEL,1650,906,0026.jpg,1,0,1
39734,MS_WHEEL,1650,906,0027.jpg,1,0,5
40093,MS_WHEEL,1650,906,0028.jpg,1,0,6
40421,MS_WHEEL,1650,906,0029.jpg,1,0,1
40703,MS_WHEEL,1650,906,0030.jpg,1,0,1
41046,MS_WHEEL,1650,906,0031.jpg,1,0,4
41921,MS_WHEEL,1650,906,0032.jpg,1,0,6
42203,MS_WHEEL,1650,906,0033.jpg,1,0,8
42484,MS_WHEEL,1650,906,0034.jpg,1,0,8
42750,LB_UP,2260,2102,0035.jpg,1,0,0
43312,LB_DOWN,1900,360,0036.jpg,1,0,0
44265,LB_UP,1146,996,0037.jpg,1,0,0
45250,RB_DOWN,1964,292,0038.jpg,1,0,0
46625,RB_UP,1252,942,0039.jpg,1,0,0
47328,LB_DOWN,1702,1224,0040.jpg,1,0,0
47625,STOP,1920,1200,0041.jpg,2,0,0
