Time,Event,X,Y,Image,PauseCnt,DoubleClickTime,WheelDetents
0,START,1500,1000,0000.jpg,0,500,0
250,LB_DOWN,2307,172,0001.jpg,0,0,0
2250,LB_UP,2318,57,0002.jpg,0,0,0
4468,LB_DOWN,674,597,0003.jpg,0,0,0
5609,LB_UP,1115,800,0004.jpg,0,0,0
6406,LB_DOWN,1027,695,0005.jpg,0,0,0
8765,LB_UP,1576,476,0006.jpg,0,0,0
11890,LB_DOWN,361,713,0007.jpg,0,0,0
11906,LB_UP,361,712,0007.jpg,0,0,0
12156,LB_DOWN,361,712,0008.jpg,0,0,0
12156,LB_UP,361,712,0008.jpg,0,0,0
15078,LB_DOWN,424,303,0009.jpg,0,0,0
15078,LB_UP,424,303,0009.jpg,0,0,0
16062,KB_DOWN,424,302,0009.jpg,0,0,0
16281,KB_DOWN,424,302,0010.jpg,0,0,0
16531,KB_DOWN,424,302,0011.jpg,0,0,0
17859,KB_DOWN,424,302,0012.jpg,0,0,0
18218,KB_DOWN,424,302,0013.jpg,0,0,0
19593,KB_DOWN,424,302,0014.jpg,0,0,0
24218,LB_DOWN,1934,542,0016.jpg,0,0,0
28859,LB_UP,1925,859,0017.jpg,0,0,0
29718,MS_WHEEL,1574,871,0018.jpg,0,0,1
29937,MS_WHEEL,1574,871,0019.jpg,0,0,1
30187,MS_WHEEL,1574,871,0020.jpg,0,0,1
30500,MS_WHEEL,1574,871,0021.jpg,0,0,1
30765,MS_WHEEL,1574,871,0022.jpg,0,0,1
31093,MS_WHEEL,1574,871,0023.jpg,0,0,1
31343,MS_WHEEL,1574,871,0024.jpg,0,0,1
31656,MS_WHEEL,1574,871,0025.jpg,0,0,1
33890,LB_DOWN,1048,704,0026.jpg,0,0,0
33890,LB_UP,1048,704,0026.jpg,0,0,0
39406,MS_WHEEL,1478,796,0027.jpg,0,0,1
39734,MS_WHEEL,1478,796,0028.jpg,0,0,1
40078,MS_WHEEL,1478,796,0029.jpg,0,0,1
40453,MS_WHEEL,1478,796,0030.jpg,0,0,1
40812,MS_WHEEL,1476,796,0031.jpg,0,0,1
41250,MS_WHEEL,1476,796,0032.jpg,0,0,1
43500,LB_DOWN,1943,412,0033.jpg,0,0,0
45203,LB_UP,1935,688,0034.jpg,0,0,0
50015,MS_WHEEL,1060,716,0035.jpg,0,0,1
50328,MS_WHEEL,1060,716,0036.jpg,0,0,1
50562,MS_WHEEL,1060,714,0037.jpg,0,0,1
52203,LB_DOWN,1063,1134,0038.jpg,0,0,0
52203,LB_UP,1063,1133,0038.jpg,0,0,0
55500,LB_DOWN,1025,1664,0039.jpg,0,0,0
55500,LB_UP,1025,1663,0039.jpg,0,0,0
59265,LB_DOWN,1723,189,0040.jpg,0,0,0
59265,LB_UP,1723,189,0040.jpg,0,0,0
62984,LB_DOWN,1254,1022,0041.jpg,0,0,0
63250,STOP,1500,1000,0042.jpg,1,0,0
