Time,Event,X,Y,Image,PauseCnt,DoubleClickTime,WheelDetents
0,START,960,540,0000.jpg,0,500,0
47,LB_DOWN,1474,856,0001.jpg,0,0,0
47,LB_UP,1474,856,0001.jpg,0,0,0
3323,LB_DOWN,1452,802,0002.jpg,0,0,0
3370,LB_UP,1452,802,0002.jpg,0,0,0
8440,LB_DOWN,1461,848,0003.jpg,0,0,0
10811,LB_UP,1554,851,0004.jpg,0,0,0
14805,LB_DOWN,1484,813,0005.jpg,0,0,0
14805,LB_UP,1484,813,0005.jpg,0,0,0
17020,LB_DOWN,1506,747,0006.jpg,0,0,0
17051,LB_UP,1506,747,0006.jpg,0,0,0
19423,LB_DOWN,1509,749,0007.jpg,0,0,0
19501,LB_UP,1509,749,0007.jpg,0,0,0
26162,LB_DOWN,1435,834,0008.jpg,0,0,0
26209,LB_UP,1436,834,0008.jpg,0,0,0
32137,LB_DOWN,1529,835,0009.jpg,0,0,0
32137,LB_UP,1529,835,0009.jpg,0,0,0
36598,LB_DOWN,1501,828,0010.jpg,0,0,0
42246,LB_UP,1381,864,0011.jpg,0,0,0
43587,RB_DOWN,1506,845,0012.jpg,0,0,0
52947,RB_UP,1039,860,0013.jpg,0,0,0
55521,RB_DOWN,1498,851,0014.jpg,0,0,0
56676,RB_UP,1415,860,0015.jpg,0,0,0
60466,LB_DOWN,1524,791,0016.jpg,0,0,0
60513,LB_UP,1524,791,0016.jpg,0,0,0
66738,LB_DOWN,1518,804,0017.jpg,0,0,0
66753,LB_UP,1518,804,0017.jpg,0,0,0
73929,LB_DOWN,1558,877,0018.jpg,0,0,0
77143,LB_UP,1409,900,0019.jpg,0,0,0
82057,LB_DOWN,1532,845,0020.jpg,0,0,0
82088,LB_UP,1532,845,0020.jpg,0,0,0
85037,LB_DOWN,1509,873,0021.jpg,0,0,0
89436,LB_UP,1435,874,0022.jpg,0,0,0
91199,LB_DOWN,1488,805,0023.jpg,0,0,0
91277,LB_UP,1488,805,0023.jpg,0,0,0
95941,LB_DOWN,270,1066,0024.jpg,0,0,0
95972,LB_UP,270,1066,0024.jpg,0,0,0
97751,STOP,960,540,0025.jpg,1,0,0
