Time,Event,X,Y,Distance,EventWeight,Image,Bookmark,Taskmark
0,START,960,540,0.0,0.000,0000.jpg,0,0
47,LB_CLICK,1474,856,603.4,1.000,0001.jpg,0,0
3323,LB_CLICK,1452,802,58.3,1.000,0002.jpg,0,0
8440,LB_DRAG_START,1461,848,46.9,1.500,0003.jpg,0,0
10811,LB_DRAG_END,1554,851,93.0,0.000,0004.jpg,0,0
14805,LB_CLICK,1484,813,79.6,1.000,0005.jpg,0,0
17020,LB_CLICK,1506,747,69.6,1.000,0006.jpg,0,0
19423,LB_CLICK,1509,749,3.6,1.000,0007.jpg,0,0
26162,LB_CLICK,1435,834,112.7,1.000,0008.jpg,0,0
32137,LB_CLICK,1529,835,94.0,1.000,0009.jpg,0,0
36598,LB_DRAG_START,1501,828,28.9,1.500,0010.jpg,0,0
42246,LB_DRAG_END,1381,864,125.3,0.000,0011.jpg,0,0
43587,RB_DRAG_START,1506,845,126.4,1.500,0012.jpg,0,0
52947,RB_DRAG_END,1039,860,467.2,0.000,0013.jpg,0,0
55521,RB_DRAG_START,1498,851,459.1,1.500,0014.jpg,0,0
56676,RB_DRAG_END,1415,860,83.5,0.000,0015.jpg,0,0
60466,LB_CLICK,1524,791,129.0,1.000,0016.jpg,0,0
66738,LB_CLICK,1518,804,14.3,1.000,0017.jpg,0,0
73929,LB_DRAG_START,1558,877,83.2,1.500,0018.jpg,0,0
77143,LB_DRAG_END,1409,900,150.8,0.000,0019.jpg,0,0
82057,LB_CLICK,1532,845,134.7,1.000,0020.jpg,0,0
85037,LB_DRAG_START,1509,873,36.2,1.500,0021.jpg,0,0
89436,LB_DRAG_END,1435,874,74.0,0.000,0022.jpg,0,0
91199,LB_CLICK,1488,805,87.0,1.000,0023.jpg,0,0
95941,LB_CLICK,270,1066,1245.7,1.000,0024.jpg,0,0
97751,STOP,960,540,867.6,0.000,0025.jpg,0,0
