Time,Event,X,Y,Distance,EventWeight,Image,Bookmark,Taskmark
0,START,1920,1200,0.0,0.000,0000.jpg,0,0
265,LB_DRAG_START,2628,740,844.3,1.500,0001.jpg,0,0
1109,LB_DRAG_END,2636,1078,338.1,0.000,0002.jpg,0,1
2046,LB_DRAG_START,3144,240,980.0,1.500,0003.jpg,0,0
2984,LB_DRAG_END,3170,140,103.3,0.000,0004.jpg,0,0
6656,LB_DRAG_START,1458,582,1768.1,1.500,0005.jpg,0,0
9140,LB_DRAG_END,1096,968,529.2,0.000,0006.jpg,0,0
10109,LB_CLICK,1508,678,503.8,1.000,0007.jpg,0,0
11109,RB_DRAG_START,1922,280,574.3,1.500,0008.jpg,0,0
13812,RB_DRAG_END,1092,1046,1129.4,0.000,0009.jpg,0,0
15703,LB_CLICK,1688,540,781.8,1.000,0010.jpg,0,0
16718,RB_CLICK,1822,420,179.9,1.000,0011.jpg,0,1
21421,LB_CLICK,1684,704,315.8,1.000,0012.jpg,1,0
22609,RB_CLICK,1692,698,10.0,1.000,0013.jpg,0,0
24796,LB_CLICK,1778,830,157.5,1.000,0014.jpg,0,0
27546,MB_DRAG_START,1988,344,529.4,1.500,0015.jpg,0,1
28671,MB_DRAG_END,1556,798,626.7,0.000,0016.jpg,0,0
29250,MB_DRAG_START,1526,782,34.0,1.500,0017.jpg,0,0
30171,MB_DRAG_END,2550,1580,1298.2,0.000,0018.jpg,0,0
31968,LB_DRAG_START,3164,142,1563.6,1.500,0019.jpg,0,0
33156,LB_DRAG_END,3154,74,68.7,0.000,0020.jpg,1,0
34640,MB_DRAG_START,3122,80,32.6,1.500,0021.jpg,0,0
35453,MB_DRAG_END,3098,154,77.8,0.000,0022.jpg,0,0
37359,MB_DRAG_START,1786,654,1404.0,1.500,0023.jpg,0,1
38296,MB_DRAG_END,1552,988,407.8,0.000,0024.jpg,0,0
39109,MOUSE_WHEEL_START_SCROLL,1650,906,127.8,1.000,0025.jpg,0,0
42484,MOUSE_WHEEL_END_SCROLL,1650,906,9.0,0.000,0034.jpg,0,0
42750,LB_CLICK,2260,2102,1342.6,1.000,0035.jpg,0,0
43312,LB_DRAG_START,1900,360,1778.8,1.500,0036.jpg,0,0
44265,LB_DRAG_END,1146,996,986.4,0.000,0037.jpg,0,0
45250,RB_DRAG_START,1964,292,1079.2,1.500,0038.jpg,0,0
46625,RB_DRAG_END,1252,942,964.1,0.000,0039.jpg,0,0
47328,LB_CLICK,1702,1224,531.1,1.000,0040.jpg,0,0
47625,STOP,1920,1200,219.3,0.000,0041.jpg,0,0
