Time,Event,X,Y,Distance,EventWeight,Image,Bookmark,Taskmark
0,START,1500,1000,0.0,0.000,0000.jpg,0,0
250,LB_DRAG_START,2307,172,1156.2,1.500,0001.jpg,0,0
2250,LB_DRAG_END,2318,57,115.5,0.000,0002.jpg,0,0
4468,LB_DRAG_START,674,597,1730.4,1.500,0003.jpg,0,0
5609,LB_DRAG_END,1115,800,485.5,0.000,0004.jpg,0,0
6406,LB_DRAG_START,1027,695,137.0,1.500,0005.jpg,0,0
8765,LB_DRAG_END,1576,476,591.1,0.000,0006.jpg,0,0
11890,LB_DBL_CLICK,361,713,1237.9,2.000,0007.jpg,0,0
15078,LB_CLICK,424,303,414.8,1.000,0009.jpg,0,0
16062,KEYPRESS,424,302,1.0,1.000,0009.jpg,0,0
16281,KEYPRESS,424,302,0.0,1.000,0010.jpg,0,0
16531,KEYPRESS,424,302,0.0,1.000,0011.jpg,0,0
17859,KEYPRESS,424,302,0.0,1.000,0012.jpg,0,0
18218,KEYPRESS,424,302,0.0,1.000,0013.jpg,0,0
19593,KEYPRESS,424,302,0.0,1.000,0014.jpg,0,0
24218,LB_DRAG_START,1934,542,1529.0,1.500,0016.jpg,0,0
28859,LB_DRAG_END,1925,859,317.1,0.000,0017.jpg,0,0
29718,MOUSE_WHEEL_START_SCROLL,1574,871,351.2,1.000,0018.jpg,0,0
31656,MOUSE_WHEEL_END_SCROLL,1574,871,7.0,0.000,0025.jpg,0,0
33890,LB_CLICK,1048,704,551.9,1.000,0026.jpg,0,0
39406,MOUSE_WHEEL_START_SCROLL,1478,796,439.7,1.000,0027.jpg,0,0
41250,MOUSE_WHEEL_END_SCROLL,1478,796,5.0,0.000,0032.jpg,0,0
43500,LB_DRAG_START,1943,412,603.1,1.500,0033.jpg,0,0
45203,LB_DRAG_END,1935,688,276.1,0.000,0034.jpg,0,0
50015,MOUSE_WHEEL_START_SCROLL,1060,716,875.4,1.000,0035.jpg,0,0
50562,MOUSE_WHEEL_END_SCROLL,1060,716,2.0,0.000,0037.jpg,0,0
52203,LB_CLICK,1063,1134,418.0,1.000,0038.jpg,0,0
55500,LB_CLICK,1025,1664,531.4,1.000,0039.jpg,0,0
59265,LB_CLICK,1723,189,1631.8,1.000,0040.jpg,0,0
62984,LB_CLICK,1254,1022,956.0,1.000,0041.jpg,0,0
63250,STOP,1500,1000,247.0,0.000,0042.jpg,0,0
